id	title	author	source	primaryCategory	tags	relativePath
c1f77ca40d631a7a	التيار الأيديولوجي في النقد العربي المعاصر: بين النظرية والممارسة	منى بنت بشير الجراح	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/20/2/ملحق العدد/2 التيار الأيديولوجي في النقد العربي المعاصر$ بين النظرية والممارسة.pdf
c76c072deaa506b4	الحدث وأثره في البنية النحوية في النظريات اللسانية الحديثة	د. سعيد بن محمد آل موسى، د. عبد الغني بن شوقي الأدبعي	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/22/1/53 الحدث وأثره في البنية النحوية في النظريات اللسانية الحديثة.pdf
3f4f3fed1c4eb113	السرد الروائي النسوي ومجال تشكيلاته الروائية ودلالاتها ((الفردوس اليباب)، لليلى الجهني أنموذجاً)	أ. د. حمدة بنت خلف العنزي	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/17/1/5 السرد الروائي النسوي ومجال تشكيلاته الروائية ودلالاتها ((الفردوس اليباب)، لليلى الجهني أنموذجاً).pdf
84b190fe5c50858f	الشعر بين أبي بكرٍ وعائشة -رضي الله عنهما	د. ليلى بنت محمد الدخيل	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	شعر وأدب	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/20/1/2 الشعر بين أبي بكرٍ وعائشة -رضي الله عنهما-.pdf
dc990c01ecce8b94	العربية الفصحى: بين الازدواجية اللغوية والثنائية اللغوية	إبراهيم بن كايد محمود	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/3/1/2 العربية الفصحى$ بين الازدواجية اللغوية والثنائية اللغوية.pdf
fd17061c8dc3dbd2	الفنون البلاغية في سورة: (هود)	د. ماجد بن محمد الماجد	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/5/2/2 الفنون البلاغية في سورة$ (هود).pdf
2b745d8a3f220b8d	المعاني الاصطلاحية في المعاجم اللغوية (الحدود النحوية في محكم ابن سيده نموذجاً)	حاتم بن محمد مصطفى	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	dictionaries	معجم لغوي	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/21/2/25 المعاني الاصطلاحية في المعاجم اللغوية (الحدود النحوية في محكم ابن سيده نموذجاً).pdf
7b234fe8a479f8b8	المقاصد التداولية للتقديم والتأخير في كتاب: (نهاية الإيجاز في دراية الإعجاز)، للرازي	باديس لهويمل	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/22/1/34 المقاصد التداولية للتقديم والتأخير في كتاب$ (نهاية الإيجاز في دراية الإعجاز)، للرازي.pdf
4d1e69548ac2b19c	بلاغة الإقناع في مقدمات كتب البلاغة العربية	أ. د. عبد الله بن عبد الرحمن بانقيب	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/22/2/9 بلاغة الإقناع في مقدمات كتب البلاغة العربية.pdf
6bcb9723fb00c226	بواكير التجديد في الرواية السعودية من خلال رواية: (عذراء المنفى)	أ. د. حسن بن حجاب الحازمي	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)	references	دراسات لغوية	المجلة العلمية لجامعة الملك فيصل للعلوم الإنسانية والإدارية (السعودية)/13/1/7 بواكير التجديد في الرواية السعودية من خلال رواية$ (عذراء المنفى).pdf
